Make,Risk Score,Injury Rate,Survival Rate,Total Person
siegel gerald,2.0,1.0,0.0,1
hoskins,2.0,1.0,0.0,1
hoskins craig,2.0,1.0,0.0,1
heveron,2.0,1.0,0.0,1
hess john l,2.0,1.0,0.0,1
herring,2.0,1.0,0.0,1
hatcher,2.0,1.0,0.0,1
hatle,2.0,1.0,0.0,1
smith carter a,2.0,1.0,0.0,1
hauser u/hauser j,2.0,1.0,0.0,1
"hauser, william c.",2.0,1.0,0.0,1
hawk,2.0,1.0,0.0,1
smith capella,2.0,1.0,0.0,1
nelson/nelson,2.0,1.0,0.0,1
nelson sydney/nelson diann,2.0,1.0,0.0,1
nelson sydney,2.0,1.0,0.0,1
hawkins & powers,2.0,1.0,0.0,2
hawkins august e,2.0,1.0,0.0,1
hawley richard,2.0,1.0,0.0,1
smiley james e,2.0,1.0,0.0,1
hayes/pietenpol,2.0,1.0,0.0,2
smelser,2.0,1.0,0.0,1
smith douglas j.,2.0,1.0,0.0,1
smith mini,2.0,1.0,0.0,1
smart,2.0,1.0,0.0,1
haskins,2.0,1.0,0.0,1
harrison robert j.,2.0,1.0,0.0,1
harrison volmer,2.0,1.0,0.0,2
harrop blake,2.0,1.0,0.0,2
nerstrom-tailwind,2.0,1.0,0.0,1
smitrovich,2.0,1.0,0.0,1
smithwick/treidel,2.0,1.0,0.0,2
hartline,2.0,1.0,0.0,2
hartline j bon,2.0,1.0,0.0,2
smithgall pitts special,2.0,1.0,0.0,1
hartunian robert,2.0,1.0,0.0,1
hartz paul,2.0,1.0,0.0,1
ransome,2.0,1.0,0.0,1
hartzler,2.0,1.0,0.0,1
harvey patten,2.0,1.0,0.0,1
smith miniplane,2.0,1.0,0.0,4
nelson larry l,2.0,1.0,0.0,1
healy,2.0,1.0,0.0,1
skurich,2.0,1.0,0.0,1
skyrunner,2.0,1.0,0.0,2
skyranger,2.0,1.0,0.0,1
hendrix,2.0,1.0,0.0,1
hendryx steve/wiley ross,2.0,1.0,0.0,1
henley,2.0,1.0,0.0,1
henrie raymond,2.0,1.0,0.0,2
henry j. camacho,2.0,1.0,0.0,1
henry l berrier jr,2.0,1.0,0.0,1
henry vickers,2.0,1.0,0.0,1
herder michael,2.0,1.0,0.0,1
herem,2.0,1.0,0.0,1
sky star,2.0,1.0,0.0,2
herman,2.0,1.0,0.0,1
"sky international, inc.",2.0,1.0,0.0,1
ratte james,2.0,1.0,0.0,1
hernandez challenger,2.0,1.0,0.0,1
hemingway,2.0,1.0,0.0,1
helpling helen c,2.0,1.0,0.0,1
heard alan e,2.0,1.0,0.0,1
helo werks,2.0,1.0,0.0,1
sloan,2.0,1.0,0.0,1
hebert,2.0,1.0,0.0,1
rarsch,2.0,1.0,0.0,1
slingsby aviation plc,2.0,1.0,0.0,1
nelsen lynn h,2.0,1.0,0.0,1
slaughter mike,2.0,1.0,0.0,2
rash,2.0,1.0,0.0,1
hein,2.0,1.0,0.0,1
heindenreich,2.0,1.0,0.0,2
heinrichs,2.0,1.0,0.0,1
heiser robert c jr,2.0,1.0,0.0,1
skytrails lsa,2.0,1.0,0.0,2
helicopteres guimbal,2.0,1.0,0.0,4
"helicopters & airplanes, inc.",2.0,1.0,0.0,1
helicycle/morrisey rr,2.0,1.0,0.0,1
harry crosby (vans),2.0,1.0,0.0,1
starflight,2.0,1.0,0.0,1
gillmore,2.0,1.0,0.0,1
sweeney timothy j,2.0,1.0,0.0,1
swift,2.0,1.0,0.0,3
r&k special,2.0,1.0,0.0,1
swezey t/molnar d,2.0,1.0,0.0,2
engle david,2.0,1.0,0.0,2
english,2.0,1.0,0.0,2
swensen,2.0,1.0,0.0,1
sweet wayne a,2.0,1.0,0.0,2
offchiss edward r,2.0,1.0,0.0,2
nunley,2.0,1.0,0.0,1
swanson,2.0,1.0,0.0,5
oehling,2.0,1.0,0.0,1
ervin,2.0,1.0,0.0,2
erwin,2.0,1.0,0.0,1
eslinger c w/eslinger s m,2.0,1.0,0.0,1
espinal,2.0,1.0,0.0,1
eugene boos,2.0,1.0,0.0,2
oliver a bruce,2.0,1.0,0.0,2
emmert,2.0,1.0,0.0,2
syreini,2.0,1.0,0.0,1
t bird golden circle air inc,2.0,1.0,0.0,1
talago,2.0,1.0,0.0,1
eipper formance,2.0,1.0,0.0,2
eipper mx ii quicksilver,2.0,1.0,0.0,2
eipper quicksilver,2.0,1.0,0.0,2
quinn,2.0,1.0,0.0,1
"ekornaas, fred",2.0,1.0,0.0,1
elan,2.0,1.0,0.0,1
elan glaser dirks,2.0,1.0,0.0,1
elemdorf,2.0,1.0,0.0,2
ellefson,2.0,1.0,0.0,1
eller,2.0,1.0,0.0,2
elmwood,2.0,1.0,0.0,2
elvin n. kier,2.0,1.0,0.0,1
emair,2.0,1.0,0.0,1
tail feather llc,2.0,1.0,0.0,1
eugene clements,2.0,1.0,0.0,1
eugene m. veras,2.0,1.0,0.0,1
sutton,2.0,1.0,0.0,1
ezekiel,2.0,1.0,0.0,1
"o'dell, herbert l.",2.0,1.0,0.0,1
fairchild(howard),2.0,1.0,0.0,2
stump,2.0,1.0,0.0,1
o'day,2.0,1.0,0.0,2
falcon safety craft inc,2.0,1.0,0.0,1
falcon special,2.0,1.0,0.0,1
falk,2.0,1.0,0.0,1
